dummy_field	id_set_1	name_set_1	id_set_2	name_set_2
dummy_value	50964	make+it+rain_20463891.html	7727	beautiful+stranger_20086858.html
dummy_value	37436	i+saw+the+light_20343227.html	37435	i+saw+the+light_20064074.html
dummy_value	54492	my+doorbell_20462468.html	43064	jeremy_20075467.html
dummy_value	23512	everything+you+can+think_20336531.html	12882	cant+stop+this+thing+we+started_20025535.html
dummy_value	23245	everybody+hurts_20693319.html	7727	beautiful+stranger_20086858.html
dummy_value	71544	strange+weather_20088711.html	35743	i+cant+tell+you+why_20144418.html
dummy_value	30844	hanky+panky_20086875.html	146	16+shells+from+a+thirty+ought+six_20138946.html
dummy_value	47129	lie+to+me_20679070.html	42939	jaynes+blue+wish_20679065.html
dummy_value	31419	have+you+seen+the+bright+lily+grow_20535331.html	8394	best+of+my+love_20809640.html
dummy_value	60846	picture+in+a+frame_20138877.html	4856	another+mans+vine_20463916.html
dummy_value	58441	once+upon+a+christmas_20792691.html	58440	once+upon+a+christmas_20674412.html
dummy_value	50008	love+tried+to+welcome+me_20086839.html	17732	darkness_20004246.html
dummy_value	75042	the+flowers+of+guatemala_20115263.html	20647	dont+stop_20086834.html
dummy_value	21992	easter+parade_20106725.html	21991	easter+parade_20068099.html
dummy_value	69359	somebody+to+love_20112299.html	69358	somebody+to+love_20059273.html
dummy_value	11231	bring+it+on+home_20082053.html	5607	as+time+goes+by_20320692.html
dummy_value	82985	when+my+dreamboat+comes+home_21058729.html	82984	when+my+dreamboat+comes+home_20338970.html
dummy_value	40458	in+darkness+let+me+dwell_20535323.html	34999	hung+up_20536858.html
dummy_value	16573	crazy_20177846.html	16462	crazy+arms_20177927.html
dummy_value	15840	coney+island+baby_20174293.html	4560	angel_20086921.html
dummy_value	16664	crimes+of+passion_20086904.html	8257	bend+down+the+branches_20722276.html
dummy_value	72934	take+it+to+the+limit_20805980.html	9606	blind+love_20021999.html
dummy_value	50503	lullaby_20237441.html	34999	hung+up_20536858.html
dummy_value	71295	stone+in+love+with+you_10026993.html	60305	passive+manipulation_10187180.html
dummy_value	53910	movement+i+mercy_20005527.html	52287	mercy_20522077.html
dummy_value	47830	little+david_20075469.html	24935	filipino+box+spring+hog_20138871.html
dummy_value	74578	the+christmas+song_20042238.html	74576	the+christmas+song_10188894.html
dummy_value	31383	have+you+ever+been+in+love_20222094.html	31382	have+you+ever+been+in+love_20107390.html
dummy_value	72021	summer+nights_20126908.html	72019	summer+nights_20088755.html
dummy_value	79328	trapped+in+the+drive+thru_20532161.html	21103	down+there+by+the+train_20191745.html
dummy_value	56831	nobodys+fault+but+mine_20062498.html	34940	human+nature_20086836.html
dummy_value	27987	gimme+gimme+gimme+a+man+after+midnight_20930419.html	21737	dude+looks+like+a+lady_20473395.html
dummy_value	52706	millionaire+blues_20089381.html	52705	millionaire+blues_20040797.html
dummy_value	25982	for+the+good+times_20106588.html	25980	for+the+good+times_20049674.html
dummy_value	66848	shake+your+body_20213323.html	3168	all+my+love_20082142.html
dummy_value	74578	the+christmas+song_20042238.html	74572	the+christmas+song_10003775.html
dummy_value	59577	out+on+the+tiles_20611286.html	3168	all+my+love_20082142.html
dummy_value	50964	make+it+rain_20463891.html	47830	little+david_20075469.html
dummy_value	74578	the+christmas+song_20042238.html	74574	the+christmas+song_10163493.html
dummy_value	24693	feelin+alright_20196052.html	24691	feelin+alright_20131336.html
dummy_value	26086	forbidden+love_20086966.html	7998	before+the+night+is+over_20025507.html
dummy_value	47830	little+david_20075469.html	40188	im+still+here_20265163.html
dummy_value	73842	thank+you_20315508.html	11863	busy+being+fabulous_20659156.html
dummy_value	33450	history_20620339.html	11231	bring+it+on+home_20082053.html
dummy_value	74260	the+battle+of+evermore_20082162.html	61476	poor+sad+baby_20075476.html
dummy_value	56508	no+one+knows+im+gone_20463888.html	52416	metropolitan+glide_20463890.html
dummy_value	457	4+minutes_20736669.html	146	16+shells+from+a+thirty+ought+six_20138946.html
dummy_value	64835	rudolph+the+red+nosed+reindeer_20303658.html	64834	rudolph+the+red+nosed+reindeer_20303651.html
dummy_value	79049	too+shy+to+say_20116011.html	21104	down+there+by+the+train_20679056.html
dummy_value	39942	im+lonely+but+i+aint+that+lonely+yet_20462469.html	29522	good+times+bad+times_20082048.html
dummy_value	54492	my+doorbell_20462468.html	15840	coney+island+baby_20174293.html
dummy_value	15563	come+to+the+sunshine_20075457.html	3168	all+my+love_20082142.html
dummy_value	44527	kentucky+woman_20228672.html	44526	kentucky+woman_20098874.html
dummy_value	52666	milk+cow+blues_20089380.html	52664	milk+cow+blues_20059439.html
dummy_value	44527	kentucky+woman_20228672.html	44525	kentucky+woman_20038844.html
dummy_value	44176	justify+my+love_10172480.html	41211	intervention_20086827.html
dummy_value	42598	ive+got+a+good+thing+going_20058014.html	17362	dance+2night_20740415.html
dummy_value	75042	the+flowers+of+guatemala_20115263.html	20636	dont+stop+til+you+get+enough_20575624.html
dummy_value	50008	love+tried+to+welcome+me_20086839.html	12882	cant+stop+this+thing+we+started_20025535.html
dummy_value	7724	beautiful+star+of+bethlehem_20674547.html	7723	beautiful+star+of+bethlehem_20162146.html
dummy_value	32704	here+today+gone+tomorrow_20075464.html	6182	babe+im+gonna+leave+you_20082081.html
dummy_value	56831	nobodys+fault+but+mine_20062498.html	15840	coney+island+baby_20174293.html
dummy_value	37960	i+want+you+to+want+me_20463594.html	37957	i+want+you+to+want+me_20029403.html
dummy_value	75438	the+impossible+dream_20869060.html	75435	the+impossible+dream_10010813.html
dummy_value	27201	gallows+pole_20082064.html	20647	dont+stop_20086834.html
dummy_value	11133	bridge+over+troubled+water_20462434.html	11124	bridge+over+troubled+water_10180109.html
dummy_value	74798	the+disco+strangler_20044560.html	50503	lullaby_20237441.html
dummy_value	83093	when+will+i+see+you_20827750.html	33844	hollywood+perfume_20110660.html
dummy_value	37960	i+want+you+to+want+me_20463594.html	37958	i+want+you+to+want+me_20346175.html
dummy_value	57818	oh+father_20814345.html	42598	ive+got+a+good+thing+going_20058014.html
dummy_value	11133	bridge+over+troubled+water_20462434.html	11125	bridge+over+troubled+water_20022771.html
dummy_value	20552	dont+save+it+all+for+christmas+day_20689342.html	20551	dont+save+it+all+for+christmas+day_20186156.html
dummy_value	83481	white+christmas_20765488.html	83480	white+christmas_20762110.html
dummy_value	71295	stone+in+love+with+you_10026993.html	29522	good+times+bad+times_20082048.html
dummy_value	32704	here+today+gone+tomorrow_20075464.html	21829	dyer+maker_20082147.html
dummy_value	71846	subway_20522804.html	19747	doctor+junk_20075460.html
dummy_value	50008	love+tried+to+welcome+me_20086839.html	12888	cant+stop_20086992.html
dummy_value	8437	beth_20881848.html	8436	beth_20079696.html
dummy_value	16976	cryin_20621464.html	10302	bonzos+montreux_20158767.html
dummy_value	41117	inside+of+me_20086838.html	2199	after+the+thrill+is+gone_20044526.html
dummy_value	26086	forbidden+love_20086966.html	16861	cry+baby_20086874.html
dummy_value	17741	darlene_20081896.html	5607	as+time+goes+by_20320692.html
dummy_value	55854	new+orleans_20553614.html	55852	new+orleans_20131406.html
dummy_value	33187	high+heeled+sneakers_20212431.html	33186	high+heel+sneakers_20839474.html
dummy_value	81272	waiting+in+the+weeds_20660819.html	59347	orestes_20502682.html
dummy_value	77260	the+wonderful+cross_20344859.html	77259	the+wonderful+cross_10180229.html
dummy_value	62849	ramble+on_20306756.html	13987	cherish_20086885.html
dummy_value	59577	out+on+the+tiles_20611286.html	29522	good+times+bad+times_20082048.html
dummy_value	29234	gone_20086943.html	26086	forbidden+love_20086966.html
dummy_value	1562	a+song+for+you_20809195.html	1555	a+song+for+you_20027430.html
dummy_value	12888	cant+stop_20086992.html	12882	cant+stop+this+thing+we+started_20025535.html
dummy_value	75734	the+long+winding+road_20116902.html	75722	the+long+and+winding+road_20241182.html
dummy_value	75734	the+long+winding+road_20116902.html	75721	the+long+and+winding+road_20241178.html
dummy_value	31882	heartache+tonight_20464280.html	6542	back+in+business_20086873.html
dummy_value	76074	the+old+mans+back+in+town_20057971.html	72934	take+it+to+the+limit_20805980.html
dummy_value	34778	how+many+more+times_20081912.html	19747	doctor+junk_20075460.html
dummy_value	34999	hung+up_20536858.html	4048	amazing_20086939.html
dummy_value	42353	its+only+love_20025526.html	6542	back+in+business_20086873.html
dummy_value	77050	the+very+thought+of+you_20007906.html	77049	the+very+thought+of+you_10179376.html
dummy_value	77050	the+very+thought+of+you_20007906.html	77048	the+very+thought+of+you_10140732.html
dummy_value	26454	franks+theme_20138843.html	15102	cold+cold+ground_20138774.html
dummy_value	34345	hot+dog_20081909.html	11394	bron+y+aur+stomp_20082107.html
dummy_value	73114	taketaketake_10187181.html	16664	crimes+of+passion_20086904.html
dummy_value	11394	bron+y+aur+stomp_20082107.html	9606	blind+love_20021999.html
dummy_value	50008	love+tried+to+welcome+me_20086839.html	23512	everything+you+can+think_20336531.html
dummy_value	64399	rock+ya+like+a+hurricane_20456905.html	35044	hurricane+2000_20219229.html
dummy_value	48604	long+road+out+of+eden_20659173.html	18616	desperado_20027510.html
dummy_value	71580	stranger+to+himself_20326859.html	71579	stranger+to+himself_20131455.html
dummy_value	62849	ramble+on_20306756.html	50964	make+it+rain_20463891.html
dummy_value	48604	long+road+out+of+eden_20659173.html	18619	desperado_20186817.html
dummy_value	48604	long+road+out+of+eden_20659173.html	18617	desperado_20044565.html
dummy_value	41568	is+your+mama+gonna+miss+ya_20025630.html	31937	heartbreaker_20101089.html
dummy_value	24921	fighting+spirit_20708313.html	21583	driver+8_20065911.html
dummy_value	18616	desperado_20027510.html	12624	candy+store+rock_20081889.html
dummy_value	53964	mr+bad+guy_10237123.html	25048	fine+knacks+for+ladies_20535329.html
dummy_value	42939	jaynes+blue+wish_20679065.html	4856	another+mans+vine_20463916.html
dummy_value	56104	night+owl_20069282.html	56103	night+owl_20027242.html
dummy_value	47228	life+is+just+a+bowl+of+cherries_20823767.html	47227	life+is+just+a+bowl+of+cherries_20072794.html
dummy_value	20890	doolin+daltondesperado+reprise_20044421.html	5280	archive.html
dummy_value	26929	frosty+the+snowman_20200808.html	26926	frosty+the+snowman_20200801.html
dummy_value	29064	going+to+california_20081904.html	18622	desperado_20186820.html
dummy_value	31881	heartache+tonight_20044506.html	17289	daisy+summer+piper_20075458.html
dummy_value	33271	higher+ground_20114860.html	15750	communication+breakdown_20170695.html
dummy_value	37618	i+think+i+see+the+light_20707760.html	37617	i+think+i+see+the+light_20028144.html
dummy_value	52606	midsummer+morning_20075473.html	5613	as+ugly+as+i+seem_10187182.html
dummy_value	13900	cheater+demo_20167611.html	2199	after+the+thrill+is+gone_20044526.html
dummy_value	17985	dead+flowers_20180378.html	17983	dead+flowers_20117890.html
dummy_value	56581	no+quarter_20082170.html	40586	in+my+time+of+dying_20279881.html
dummy_value	31419	have+you+seen+the+bright+lily+grow_20535331.html	23788	eyeball+kid_20138870.html
dummy_value	71846	subway_20522804.html	50584	lyin+eyes_20044572.html
dummy_value	38648	if+i+had+you_20089367.html	38647	if+i+had+you_20040794.html
dummy_value	26454	franks+theme_20138843.html	15165	cold+water_20138868.html
dummy_value	56831	nobodys+fault+but+mine_20062498.html	80	1000000_20115204.html
dummy_value	49288	love+can+build+a+bridge_20613053.html	49286	love+can+build+a+bridge_20247638.html
dummy_value	33069	hey+you_20649979.html	21829	dyer+maker_20082147.html
dummy_value	40767	in+the+mood_20030045.html	33272	higher+ground_20131813.html
dummy_value	75042	the+flowers+of+guatemala_20115263.html	29064	going+to+california_20081904.html
dummy_value	15475	come+on_10224713.html	15469	come+on+part+iii_20921398.html
dummy_value	64782	royal+orleans_20082008.html	32952	hey+hey+what+can+i+do_20082177.html
dummy_value	55829	new+kid+in+town_20044484.html	13589	chained+to+the+wheel_20073594.html
dummy_value	7792	beauty+the+beast_20163462.html	7780	beauty+of+the+beast_20482930.html
dummy_value	59347	orestes_20502682.html	27067	funky+new+year_20197354.html
dummy_value	74323	the+best+of+my+love_20044579.html	15748	communication+breakdown_20082146.html
dummy_value	81773	waterhole_10174756.html	81772	waterhole_10116441.html
dummy_value	27316	garth+brooks+christmas+the+gift_20826289.html	1911	achilles+last+stand_20081878.html
dummy_value	20160	dont+explain_20813105.html	20156	dont+explain_20017786.html
dummy_value	42598	ive+got+a+good+thing+going_20058014.html	18621	desperado_20186819.html
dummy_value	52647	miles+away_20736665.html	34940	human+nature_20086836.html
dummy_value	31419	have+you+seen+the+bright+lily+grow_20535331.html	4856	another+mans+vine_20463916.html
dummy_value	60846	picture+in+a+frame_20138877.html	8394	best+of+my+love_20809640.html
dummy_value	50391	lowdown_20724803.html	146	16+shells+from+a+thirty+ought+six_20138946.html
dummy_value	38315	i+wont+last+a+day+without+you_20699679.html	38313	i+wont+last+a+day+without+you_20040403.html
dummy_value	54184	muli_21102845.html	48147	livin+in+the+life_20792014.html
dummy_value	28532	glorious_20807767.html	28530	glorious_20626632.html
dummy_value	79514	troublemaker_21049361.html	79513	troublemaker_21046266.html
dummy_value	38315	i+wont+last+a+day+without+you_20699679.html	38314	i+wont+last+a+day+without+you_20547250.html
dummy_value	27067	funky+new+year_20197354.html	3464	all+the+time_20679093.html
dummy_value	20996	down+by+the+seaside_20081995.html	6182	babe+im+gonna+leave+you_20082081.html
dummy_value	40869	in+this+life_20086850.html	80	1000000_20115204.html
dummy_value	83617	who+is+like+the+lord_21084166.html	83616	who+is+like+the+lord_20816669.html
dummy_value	43128	jesus+gonna+be+here_20138811.html	30774	hang+down+your+head_20138923.html
dummy_value	56619	no+self+control_20622747.html	56618	no+self+control_20107446.html
dummy_value	2477	aint+nuthin+like+pimpin_20548042.html	2469	aint+nothing+like+pimpin_20281582.html
dummy_value	32462	help_21069130.html	32451	help_10026477.html
dummy_value	52606	midsummer+morning_20075473.html	18619	desperado_20186817.html
dummy_value	52606	midsummer+morning_20075473.html	18616	desperado_20027510.html
dummy_value	1609	a+tear+fell_20990648.html	1608	a+tear+fell_20618783.html
dummy_value	52606	midsummer+morning_20075473.html	18617	desperado_20044565.html
dummy_value	18117	dear+jessie_20086912.html	12618	candy+perfume+girl_20086951.html
dummy_value	85007	yet+still+i+rise_20531693.html	71169	still+i+rise_20319407.html
dummy_value	58594	one+good+spliff_20531136.html	27137	future+lovers_20536855.html
dummy_value	40586	in+my+time+of+dying_20279881.html	31937	heartbreaker_20101089.html
dummy_value	34999	hung+up_20536858.html	7998	before+the+night+is+over_20025507.html
dummy_value	75731	the+long+way+home_10194747.html	9607	blind+love_20138916.html
dummy_value	75144	the+girl+i+love+she+got+long+black+wavy+hair_20081945.html	12882	cant+stop+this+thing+we+started_20025535.html
dummy_value	25048	fine+knacks+for+ladies_20535329.html	16976	cryin_20621464.html
dummy_value	73268	tangerine_20082035.html	22091	eaten+alive_20092838.html
dummy_value	24921	fighting+spirit_20708313.html	19231	disappear_10090142.html
dummy_value	43128	jesus+gonna+be+here_20138811.html	30787	hang+on+st+christopher_10242433.html
dummy_value	47237	life+is+so+peculiar_20824040.html	47235	life+is+so+peculiar_20490009.html
dummy_value	33444	history+non+album+track_20965020.html	5537	as+if_20098803.html
dummy_value	75144	the+girl+i+love+she+got+long+black+wavy+hair_20081945.html	12888	cant+stop_20086992.html
dummy_value	73373	tea+for+one_20081939.html	29522	good+times+bad+times_20082048.html
dummy_value	18622	desperado_20186820.html	6182	babe+im+gonna+leave+you_20082081.html
dummy_value	75144	the+girl+i+love+she+got+long+black+wavy+hair_20081945.html	40096	im+ready_20025614.html
dummy_value	70581	stairway+to+heaven_20328938.html	10302	bonzos+montreux_20158767.html
dummy_value	36357	i+give+you+my+heart_20817284.html	36355	i+give+you+my+heart_20210943.html
dummy_value	47129	lie+to+me_20679070.html	45136	kommienezuspadt_20687233.html
dummy_value	52188	memories+of+a+rock+rolla_20463691.html	52187	memories+of+a+rock+n+rolla_20131397.html
dummy_value	14846	close+to+you_20824845.html	14845	close+to+you_20823140.html
dummy_value	22097	ebb+tide_20151331.html	22096	ebb+tide_20055724.html
dummy_value	23654	exactly+like+you_20816526.html	23653	exactly+like+you_20816465.html
dummy_value	47956	little+more+time+with+you_20069144.html	22042	easy+ride_20086824.html
dummy_value	23207	every+time+we+say+goodbye_20516704.html	23206	every+time+we+say+goodbye_20117489.html
dummy_value	22023	easy+living_20700577.html	22021	easy+living_20017912.html
dummy_value	71295	stone+in+love+with+you_10026993.html	67769	sick+again_20082115.html
dummy_value	29676	goodnight+irene_21055930.html	29673	goodnight+irene_20143236.html
dummy_value	59261	open+your+heart_10196218.html	49855	love+profusion_10172426.html
dummy_value	43128	jesus+gonna+be+here_20138811.html	17741	darlene_20081896.html
dummy_value	21321	dream+on_20629082.html	19830	doin+alright_20185259.html
dummy_value	49392	love+gun_20101100.html	49391	love+gun_20079886.html
dummy_value	40869	in+this+life_20086850.html	20647	dont+stop_20086834.html
dummy_value	3695	almost+like+being+in+love_20098008.html	3694	almost+like+being+in+love_20055778.html
dummy_value	17414	dance+the+night+away_20051519.html	17413	dance+the+night+away_20034166.html
dummy_value	32108	heaven_20025499.html	21941	earth+died+screaming_20138807.html
dummy_value	20599	dont+speak_21048149.html	20598	dont+speak_20063660.html
dummy_value	66831	shake+rattle+roll_20066260.html	23512	everything+you+can+think_20336531.html
dummy_value	69377	somebody_20641946.html	69374	somebody_20039351.html
dummy_value	72934	take+it+to+the+limit_20805980.html	69979	sos_10003042.html
dummy_value	69377	somebody_20641946.html	69376	somebody_20251738.html
dummy_value	70580	stairway+to+heaven_20082076.html	10496	born+to+boogie_20160259.html
dummy_value	50051	love+will+lead+you+back_20823983.html	50050	love+will+lead+you+back_20658209.html
dummy_value	48116	live+to+tell_20086969.html	31224	has+to+be_20087006.html
dummy_value	85686	you+your+friend_20089407.html	85685	you+your+friend_20040774.html
dummy_value	63515	remember_20025450.html	43679	jump_20536852.html
dummy_value	40458	in+darkness+let+me+dwell_20535323.html	14431	christmas+time_20025571.html
dummy_value	12755	cant+help+falling+in+love_20724443.html	12752	cant+help+falling+in+love_20503533.html
dummy_value	60846	picture+in+a+frame_20138877.html	21104	down+there+by+the+train_20679056.html
dummy_value	62849	ramble+on_20306756.html	13900	cheater+demo_20167611.html
dummy_value	26232	forever_20824434.html	26203	forever+yours_21061310.html
dummy_value	57817	oh+father_20086917.html	47540	like+it+or+not_20536848.html
dummy_value	40869	in+this+life_20086850.html	20636	dont+stop+til+you+get+enough_20575624.html
dummy_value	82424	what+are+you+doing+new+years+eve_20144704.html	82423	what+are+you+doing+new+years+eve_20064494.html
dummy_value	82309	were+gonna+win_20025445.html	14431	christmas+time_20025571.html
dummy_value	34345	hot+dog_20081909.html	29522	good+times+bad+times_20082048.html
