id_set_1	id_set_2	dummy_field	name_set_1	name_set_2
40458	34999	dummy_value	in+darkness+let+me+dwell_20535323.html	hung+up_20536858.html
15840	4560	dummy_value	coney+island+baby_20174293.html	angel_20086921.html
16664	8257	dummy_value	crimes+of+passion_20086904.html	bend+down+the+branches_20722276.html
72934	9606	dummy_value	take+it+to+the+limit_20805980.html	blind+love_20021999.html
50503	34999	dummy_value	lullaby_20237441.html	hung+up_20536858.html
71295	60305	dummy_value	stone+in+love+with+you_10026993.html	passive+manipulation_10187180.html
47830	24935	dummy_value	little+david_20075469.html	filipino+box+spring+hog_20138871.html
74578	74576	dummy_value	the+christmas+song_20042238.html	the+christmas+song_10188894.html
31383	31382	dummy_value	have+you+ever+been+in+love_20222094.html	have+you+ever+been+in+love_20107390.html
79328	21103	dummy_value	trapped+in+the+drive+thru_20532161.html	down+there+by+the+train_20191745.html
56831	34940	dummy_value	nobodys+fault+but+mine_20062498.html	human+nature_20086836.html
27987	21737	dummy_value	gimme+gimme+gimme+a+man+after+midnight_20930419.html	dude+looks+like+a+lady_20473395.html
25982	25980	dummy_value	for+the+good+times_20106588.html	for+the+good+times_20049674.html
66848	3168	dummy_value	shake+your+body_20213323.html	all+my+love_20082142.html
74578	74572	dummy_value	the+christmas+song_20042238.html	the+christmas+song_10003775.html
59577	3168	dummy_value	out+on+the+tiles_20611286.html	all+my+love_20082142.html
50964	47830	dummy_value	make+it+rain_20463891.html	little+david_20075469.html
74578	74574	dummy_value	the+christmas+song_20042238.html	the+christmas+song_10163493.html
24693	24691	dummy_value	feelin+alright_20196052.html	feelin+alright_20131336.html
26086	7998	dummy_value	forbidden+love_20086966.html	before+the+night+is+over_20025507.html
47830	40188	dummy_value	little+david_20075469.html	im+still+here_20265163.html
73842	11863	dummy_value	thank+you_20315508.html	busy+being+fabulous_20659156.html
33450	11231	dummy_value	history_20620339.html	bring+it+on+home_20082053.html
74260	61476	dummy_value	the+battle+of+evermore_20082162.html	poor+sad+baby_20075476.html
56508	52416	dummy_value	no+one+knows+im+gone_20463888.html	metropolitan+glide_20463890.html
457	146	dummy_value	4+minutes_20736669.html	16+shells+from+a+thirty+ought+six_20138946.html
64835	64834	dummy_value	rudolph+the+red+nosed+reindeer_20303658.html	rudolph+the+red+nosed+reindeer_20303651.html
79049	21104	dummy_value	too+shy+to+say_20116011.html	down+there+by+the+train_20679056.html
39942	29522	dummy_value	im+lonely+but+i+aint+that+lonely+yet_20462469.html	good+times+bad+times_20082048.html
54492	15840	dummy_value	my+doorbell_20462468.html	coney+island+baby_20174293.html
15563	3168	dummy_value	come+to+the+sunshine_20075457.html	all+my+love_20082142.html
44176	41211	dummy_value	justify+my+love_10172480.html	intervention_20086827.html
42598	17362	dummy_value	ive+got+a+good+thing+going_20058014.html	dance+2night_20740415.html
75042	20636	dummy_value	the+flowers+of+guatemala_20115263.html	dont+stop+til+you+get+enough_20575624.html
50008	12882	dummy_value	love+tried+to+welcome+me_20086839.html	cant+stop+this+thing+we+started_20025535.html
32704	6182	dummy_value	here+today+gone+tomorrow_20075464.html	babe+im+gonna+leave+you_20082081.html
56831	15840	dummy_value	nobodys+fault+but+mine_20062498.html	coney+island+baby_20174293.html
37960	37957	dummy_value	i+want+you+to+want+me_20463594.html	i+want+you+to+want+me_20029403.html
27201	20647	dummy_value	gallows+pole_20082064.html	dont+stop_20086834.html
11133	11124	dummy_value	bridge+over+troubled+water_20462434.html	bridge+over+troubled+water_10180109.html
74798	50503	dummy_value	the+disco+strangler_20044560.html	lullaby_20237441.html
57818	42598	dummy_value	oh+father_20814345.html	ive+got+a+good+thing+going_20058014.html
11133	11125	dummy_value	bridge+over+troubled+water_20462434.html	bridge+over+troubled+water_20022771.html
71295	29522	dummy_value	stone+in+love+with+you_10026993.html	good+times+bad+times_20082048.html
32704	21829	dummy_value	here+today+gone+tomorrow_20075464.html	dyer+maker_20082147.html
71846	19747	dummy_value	subway_20522804.html	doctor+junk_20075460.html
50008	12888	dummy_value	love+tried+to+welcome+me_20086839.html	cant+stop_20086992.html
16976	10302	dummy_value	cryin_20621464.html	bonzos+montreux_20158767.html
41117	2199	dummy_value	inside+of+me_20086838.html	after+the+thrill+is+gone_20044526.html
26086	16861	dummy_value	forbidden+love_20086966.html	cry+baby_20086874.html
